-3.844962,-79.344697;
-3.844845,-79.344613;
-3.844745,-79.344518;
-3.844673,-79.344445;
-3.844202,-79.343764;
-3.844024,-79.343521;
-3.843798,-79.343389;
-3.843581,-79.343357;
-3.843123,-79.343478;
-3.843028,-79.343699;
-3.843061,-79.343806;
-3.842506,-79.344056;
-3.842858,-79.344928;
-3.840765,-79.345996;
-3.840009,-79.346373;
-3.839418,-79.346556;
-3.83943,-79.346881;
-3.83938,-79.347146;
-3.839361,-79.347329;
-3.839403,-79.347459;
-3.839496,-79.347543;
-3.839785,-79.347688;
-3.839982,-79.34788;
-3.84002,-79.348016;
-3.840012,-79.348144;
-3.839931,-79.348361;
-3.839825,-79.348855;
-3.839826,-79.348964;
-3.840204,-79.3498;
-3.840239,-79.349963;
-3.840199,-79.350049;
-3.84011,-79.350097;
-3.839597,-79.350032;
-3.839056,-79.349872;
-3.838542,-79.349751;
-3.838315,-79.349744;
-3.838115,-79.34983;
-3.837629,-79.350493;
-3.837596,-79.350602;
-3.83766,-79.350777;
-3.837665,-79.350914;
-3.837613,-79.351049;
-3.837434,-79.351234;
-3.837197,-79.351385;
-3.836885,-79.351479;
-3.836638,-79.351613;
-3.836536,-79.351588;
-3.836214,-79.351054;
-3.836183,-79.350881;
-3.83606,-79.350708;
-3.835753,-79.350528;
-3.835325,-79.350267;
-3.835062,-79.350275;
-3.834483,-79.350431;
-3.834353,-79.350417;
-3.833806,-79.350036;
-3.833688,-79.350041;
-3.833609,-79.35011;
-3.833362,-79.350594;
-3.833089,-79.350902;
-3.832731,-79.351819;
-3.83252,-79.351994;
-3.832179,-79.352069;
-3.832075,-79.351998;
-3.831612,-79.351506;
-3.831445,-79.351508;
-3.831243,-79.351648;
-3.830878,-79.35206;
-3.829571,-79.352597;
-3.82901,-79.352732;
-3.828233,-79.352856;
-3.826538,-79.353329;
-3.826041,-79.353353;
-3.825257,-79.353727;
-3.824962,-79.35391;
-3.824465,-79.353918;
-3.824118,-79.353667;
-3.823611,-79.353644;
-3.823351,-79.353708;
-3.822825,-79.354228;
-3.822525,-79.354257;
-3.822435,-79.354134;
-3.822257,-79.353741;
-3.821622,-79.353567;
-3.821277,-79.353682;
-3.82099,-79.353674;
-3.820729,-79.35334;
-3.820089,-79.353528;
-3.819887,-79.353217;
-3.820008,-79.352017;
-3.819763,-79.35177;
-3.819147,-79.351249;
-3.81846,-79.350601;
-3.817882,-79.350443;
-3.817605,-79.350203;
-3.817625,-79.349004;
-3.817761,-79.348562;
-3.817715,-79.348099;
-3.81681,-79.347604;
-3.816007,-79.346955;
-3.815571,-79.34661;
-3.815689,-79.34607;
-3.815474,-79.345787;
-3.814231,-79.345586;
-3.813879,-79.345331;
-3.813056,-79.344931;
-3.813084,-79.344656;
-3.813651,-79.343522;
-3.814164,-79.343225;
-3.814364,-79.343026;
-3.814802,-79.342408;
-3.814807,-79.342214;
-3.814669,-79.342143;
-3.814065,-79.34204;
-3.813881,-79.340594;
-3.813895,-79.340315;
-3.814185,-79.339665;
-3.81447,-79.339343;
-3.814302,-79.339147;
-3.813793,-79.339042;
-3.813107,-79.339314;
-3.812665,-79.339194;
-3.812107,-79.338282;
-3.812045,-79.338017;
-3.811885,-79.33799;
-3.811209,-79.338182;
-3.811102,-79.338367;
-3.81097,-79.338747;
-3.810545,-79.338941;
-3.80988,-79.338901;
-3.809587,-79.33882;
-3.809479,-79.33888;
-3.809469,-79.338929;
-3.809647,-79.339223;
-3.810036,-79.33935;
-3.810125,-79.339418;
-3.810368,-79.339829;
-3.810379,-79.339999;
-3.810238,-79.340036;
-3.810042,-79.34007;
-3.809753,-79.340399;
-3.809136,-79.340831;
-3.808623,-79.340877;
-3.808287,-79.34072;
-3.808004,-79.340685;
-3.807912,-79.340752;
-3.807905,-79.340825;
-3.807916,-79.340861;
-3.808101,-79.341052;
-3.808302,-79.34137;
-3.808497,-79.341591;
-3.808513,-79.341741;
-3.808153,-79.342247;
-3.80774,-79.342588;
-3.807531,-79.3429;
-3.807384,-79.342938;
-3.806653,-79.342921;
-3.806278,-79.343207;
-3.80625,-79.343315;
-3.805996,-79.344492;
-3.805978,-79.344769;
-3.805828,-79.344954;
-3.805279,-79.345259;
-3.804983,-79.345413;
-3.804818,-79.345336;
-3.804656,-79.345135;
-3.804487,-79.345095;
-3.803934,-79.345125;
-3.803786,-79.345214;
-3.803738,-79.345352;
-3.80373,-79.345695;
-3.803622,-79.345913;
-3.803258,-79.346514;
-3.802532,-79.346721;
-3.801992,-79.346491;
-3.801654,-79.346433;
-3.801178,-79.346178;
-3.801003,-79.346054;
-3.800745,-79.346033;
-3.800478,-79.345828;
-3.799871,-79.345444;
-3.799673,-79.34542;
-3.799341,-79.34565;
-3.799055,-79.345612;
-3.798963,-79.345716;
-3.799014,-79.345869;
-3.799288,-79.346071;
-3.799684,-79.346745;
-3.800758,-79.348236;
-3.800831,-79.348356;
-3.800726,-79.348579;
-3.800738,-79.348747;
-3.800697,-79.348911;
-3.800588,-79.348962;
-3.799592,-79.348994;
-3.798796,-79.34936;
-3.798473,-79.349388;
-3.797835,-79.349325;
-3.79744,-79.349191;
-3.797146,-79.34914;
-3.796951,-79.349004;
-3.796865,-79.34901;
-3.796481,-79.349163;
-3.796326,-79.349115;
-3.796151,-79.348959;
-3.79559,-79.348767;
-3.795225,-79.348695;
-3.795054,-79.348541;
-3.794917,-79.348466;
-3.794278,-79.34818;
-3.793854,-79.347771;
-3.793652,-79.347704;
-3.793003,-79.347615;
-3.792406,-79.347208;
-3.792325,-79.347205;
-3.792316,-79.347273;
-3.792333,-79.347375;
-3.79249,-79.347823;
-3.792733,-79.348399;
-3.792834,-79.348536;
-3.793092,-79.348685;
-3.793257,-79.349022;
-3.793212,-79.349256;
-3.793216,-79.349374;
-3.793292,-79.349475;
-3.793536,-79.34972;
-3.793997,-79.349822;
-3.794169,-79.349928;
-3.794547,-79.350446;
-3.7946,-79.350605;
-3.794684,-79.350725;
-3.794874,-79.350815;
-3.795125,-79.350893;
-3.795249,-79.350991;
-3.795366,-79.351105;
-3.795848,-79.351291;
-3.796136,-79.351489;
-3.796199,-79.351611;
-3.796171,-79.35189;
